0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
49,50,49,50,50,50,51,50,52,50,52,51,53,52,54,54,53,53,54,55,56,55,57,56,58,57,60,57,59,59,61,60,58,59,58,60,62,62,62,61,62,62,62,63,63,63,63,65,65,65,65,66,66,66,67,67,67,68,69,67,69,66,68,66,67,67,68,70,69,70,69,72,71,71,72
49,50,50,50,50,51,49,51,48,51,50,51,52,52,53,54,53,54,54,55,55,55,56,56,58,57,60,59,61,60,61,61,61,62,63,62,63,62,63,60,63,62,63,63,65,64,65,64,64,66,63,65,63,65,65,66,65,66,65,67,66,67,67,68,68,69,68,68,69,68,69,70,69,70,69
49,50,51,52,50,52,53,52,53,53,53,55,57,57,57,59,58,60,60,61,61,61,63,63,63,64,64,64,64,65,66,65,68,67,69,67,69,67,69,67,69,68,69,68,69,68,68,69,70,70,71,71,71,72,71,73,72,75,74,76,75,77,76,76,77,76,77,77,78,79,79,80,82,81,83
49,50,50,51,53,52,53,55,55,55,57,56,57,57,57,57,57,58,58,59,58,60,57,60,59,60,60,62,60,60,59,62,62,63,63,62,64,64,65,64,65,66,66,68,66,69,66,69,67,69,68,69,69,71,70,70,71,73,73,73,74,72,75,74,76,75,75,77,77,78,79,78,81,80,80
49,50,50,51,50,52,51,52,52,53,52,53,53,53,55,54,56,55,55,55,55,56,55,55,55,56,56,56,56,58,57,58,59,59,58,60,59,61,60,61,60,61,62,62,62,62,63,65,63,64,66,65,66,67,66,69,67,68,69,67,69,68,68,69,69,70,70,71,71,71,71,73,72,74,72
49,50,50,52,51,54,54,53,54,54,55,54,55,56,56,56,57,57,57,57,57,58,58,61,59,61,61,60,60,62,61,62,62,63,62,63,63,65,63,66,64,66,65,64,65,65,65,64,67,66,67,66,67,67,68,69,69,69,69,69,70,71,70,72,72,71,73,73,74,76,75,77,77,78,78
49,50,51,52,51,52,53,53,55,54,56,54,54,55,57,57,57,58,59,60,59,62,60,62,60,63,61,63,62,64,62,64,63,65,65,67,66,66,67,67,67,66,66,65,66,64,65,65,65,67,66,69,68,69,71,71,71,71,71,74,72,73,74,74,76,76,76,77,77,76,76,78,77,78,78
49,50,51,51,52,51,51,52,52,53,53,55,55,57,57,57,56,58,58,60,60,61,63,62,64,64,66,64,66,68,67,69,68,70,70,70,72,72,71,71,72,73,74,74,74,74,76,75,76,77,77,79,78,81,80,82,81,83,85,84,84,85,85,86,88,87,89,89,90,91,90,91,92,92,94
49,50,51,50,51,51,52,51,50,51,52,52,54,52,53,51,54,54,56,55,56,56,58,58,60,61,61,62,62,63,62,62,62,62,63,63,63,63,64,65,65,66,66,68,68,68,69,69,69,72,71,72,73,71,72,73,73,73,74,74,74,74,74,75,76,77,78,79,81,79,80,80,81,80,81
49,50,51,49,52,51,52,51,53,53,55,53,55,54,55,54,56,54,56,56,55,55,55,55,57,56,58,57,58,60,60,60,63,62,64,65,66,65,67,65,67,67,67,68,67,68,67,69,69,70,70,71,71,72,73,74,74,73,72,72,73,73,73,74,76,76,76,78,78,79,78,79,79,80,79
49,50,49,50,49,51,50,52,51,52,52,52,54,53,55,56,54,53,55,54,57,55,58,56,58,56,58,56,61,58,61,60,61,60,62,62,62,63,64,63,63,63,65,65,65,65,64,66,67,67,67,66,68,67,68,68,68,69,70,71,71,72,71,72,70,72,71,72,72,71,72,71,73,72,75
49,50,50,51,51,51,50,52,51,52,51,52,54,53,53,54,53,53,52,54,54,54,53,54,54,55,55,55,57,56,57,55,58,57,59,56,59,58,59,59,58,59,59,61,61,62,61,62,64,63,63,64,64,65,65,66,66,66,65,65,66,63,66,64,66,65,67,68,68,68,70,68,69,69,68
49,50,50,50,52,53,54,54,54,56,56,57,55,58,56,58,58,58,60,59,58,59,59,60,61,62,63,63,62,62,63,61,62,62,64,64,64,64,65,66,66,68,66,69,68,69,69,70,70,69,69,71,71,72,72,73,73,74,74,75,74,76,76,77,77,76,76,76,78,78,79,78,79,80,81
49,50,50,51,51,52,52,54,54,54,54,53,53,54,55,54,55,53,53,54,56,54,56,56,56,56,57,57,57,57,56,58,55,58,57,58,56,57,56,58,60,60,62,61,64,62,63,63,64,64,65,64,65,65,66,66,67,68,69,70,71,71,72,72,72,71,73,70,73,71,72,71,73,72,73
49,50,50,52,51,51,51,51,51,53,52,52,51,53,52,54,53,54,55,56,54,56,55,57,56,56,57,59,58,58,59,59,59,60,60,61,62,62,62,62,64,62,64,63,66,63,65,64,66,67,67,67,67,67,69,68,70,69,69,70,70,69,70,68,71,70,72,72,73,73,74,75,75,76,79
49,50,51,51,51,52,51,54,53,55,53,55,54,56,55,56,57,56,58,58,59,57,59,58,60,58,59,58,59,59,60,61,62,60,62,63,63,63,64,65,65,66,64,67,65,67,65,67,66,67,65,67,66,67,67,67,70,70,70,71,70,71,71,72,73,71,75,73,72,74,73,76,75,75,76
49,50,51,49,51,50,52,49,50,52,51,51,51,51,51,52,54,53,54,52,55,54,55,55,55,55,56,56,58,57,59,57,60,60,60,61,61,62,61,62,61,62,61,62,63,62,63,63,64,62,64,66,65,66,67,66,67,67,67,68,68,69,69,69,71,70,72,73,72,73,72,74,74,75,76
49,50,50,51,50,51,52,52,52,51,51,51,52,52,53,53,53,53,54,54,54,55,54,55,55,55,55,55,55,55,56,54,56,56,56,58,57,58,57,59,58,60,59,60,59,63,63,65,65,66,66,66,66,66,66,68,67,68,68,68,70,68,70,70,72,72,74,73,75,76,77,77,77,78,78
49,50,51,49,51,50,51,51,54,52,54,53,54,52,53,52,53,52,54,52,54,53,55,55,57,57,57,57,58,57,60,58,60,59,59,58,59,58,59,59,60,60,61,60,61,61,61,60,61,60,62,61,62,60,61,61,61,61,61,63,63,64,63,64,63,66,64,65,66,65,67,66,68,66,69
49,50,51,52,52,52,53,55,54,55,56,55,56,57,58,59,60,60,61,60,60,62,59,62,60,61,63,61,63,63,64,63,65,63,65,65,66,66,65,68,66,67,67,68,68,68,68,70,68,68,68,67,70,68,70,68,72,69,72,70,71,70,71,69,71,69,71,70,72,72,72,73,74,72,74
49,50,50,52,52,52,52,53,51,52,52,53,53,53,54,54,54,54,55,53,55,53,55,54,56,55,56,55,55,55,56,57,57,58,58,58,58,60,57,59,58,59,60,60,61,60,62,64,64,65,65,65,66,67,66,67,67,68,69,69,70,69,71,69,71,70,71,70,72,71,74,73,74,75,74
49,50,50,52,51,55,52,54,53,53,53,54,54,57,56,57,56,56,56,56,56,56,56,57,57,58,58,58,59,57,59,58,58,58,59,58,62,60,62,61,62,61,63,63,64,64,63,64,64,65,64,66,64,68,66,67,66,68,67,68,68,69,70,70,70,69,69,69,69,70,69,69,71,69,70
49,50,51,49,50,49,51,51,53,53,53,53,53,54,55,55,57,57,59,58,60,59,60,60,60,60,61,60,62,60,62,63,60,62,61,62,62,61,63,61,63,62,64,63,64,64,63,65,64,64,65,66,67,66,68,68,70,70,70,69,69,69,70,69,72,72,71,72,72,72,75,73,73,73,75
49,50,51,51,52,52,51,52,54,54,56,56,57,58,58,59,59,59,60,60,61,61,63,62,61,62,61,61,63,63,62,64,64,67,67,68,68,68,68,68,69,69,72,71,72,71,75,74,77,74,76,76,76,77,77,77,78,78,79,80,80,80,80,81,81,81,80,81,80,82,82,83,83,83,84
49,50,51,52,52,54,53,55,54,56,55,55,57,56,56,57,55,57,56,58,56,59,57,60,57,59,59,58,61,59,59,59,59,59,59,60,59,60,59,60,60,61,60,60,61,60,62,62,64,64,65,64,65,66,66,66,67,68,69,69,70,70,71,71,73,72,73,73,73,73,75,74,77,75,76
49,50,49,50,48,50,51,51,51,51,50,52,51,51,50,51,52,52,52,55,54,55,55,55,57,57,58,58,60,61,63,62,61,63,62,63,62,63,63,63,63,65,64,66,66,68,68,67,68,68,69,70,71,71,72,72,73,73,75,74,74,76,74,76,75,77,75,77,76,76,74,77,75,76,76
49,50,49,51,51,52,53,53,54,55,54,56,55,56,57,56,59,59,60,60,60,61,61,62,62,61,62,61,62,62,62,63,62,63,65,65,67,65,68,67,69,67,68,68,68,70,69,70,72,70,71,70,72,71,73,73,72,73,75,75,75,75,76,77,77,78,78,79,79,80,79,80,79,81,81
